satellite,date,temperature
Landsat 8,2022-03-18,299.97954140499706
Landsat 8,2022-03-18,299.98939938837214
Landsat 9,2022-03-26,301.4056904576062
Landsat 9,2022-03-26,301.3908150460236
Landsat 9,2022-04-11,297.0987388251828
Landsat 9,2022-04-11,297.09198233610147
Landsat 8,2022-04-19,298.67999554166164
Landsat 8,2022-04-19,298.73748713535036
Landsat 8,2022-05-05,299.0144844249647
Landsat 8,2022-05-05,299.0126494148521
Landsat 8,2022-06-06,298.10193959349846
Landsat 8,2022-06-06,298.1014598473076
Landsat 9,2022-06-14,300.7769779642282
Landsat 9,2022-06-14,300.77730577808006
Landsat 7,2022-06-15,299.69031022755865
Landsat 8,2022-06-22,298.7591223919495
Landsat 8,2022-06-22,298.7583240607283
Landsat 7,2022-07-02,298.8822890045167
Landsat 8,2022-07-08,299.2120677792892
Landsat 8,2022-07-08,299.2132110091231
Landsat 9,2022-07-16,292.80412849191066
Landsat 9,2022-07-16,292.8054587388608
Landsat 8,2022-07-24,294.8420596499049
Landsat 8,2022-07-24,294.85906180914844
Landsat 8,2022-08-09,299.5089434171548
Landsat 8,2022-08-09,299.50818772156504
Landsat 9,2022-08-17,282.44291882
Landsat 7,2022-09-08,299.31736259304546
Landsat 8,2022-09-26,298.682588993129
Landsat 8,2022-09-26,298.6824655862394
Landsat 9,2022-10-04,300.244498285559
Landsat 9,2022-10-04,300.244162615768
Landsat 9,2022-11-05,299.38728512212475
Landsat 9,2022-11-05,299.37678150258006
Landsat 9,2022-11-21,298.6609568636513
Landsat 9,2022-11-21,298.66092704159075
Landsat 8,2022-12-31,297.729036616586
Landsat 8,2022-12-31,297.72938265926786
Landsat 8,2023-02-01,295.6872697121046
Landsat 9,2023-02-09,299.0092309372246
Landsat 8,2023-03-05,294.90558986762784
Landsat 8,2023-03-05,294.91634747044986
Landsat 7,2023-03-07,294.9022947786182
Landsat 9,2023-03-29,289.901970418459
Landsat 9,2023-03-29,289.89998378109266
Landsat 9,2023-04-14,298.8838312320753
Landsat 9,2023-04-14,298.8759099283948
Landsat 7,2023-04-15,300.5205435454664
Landsat 9,2023-05-16,300.01381099490686
Landsat 9,2023-05-16,300.0110098568134
Landsat 8,2023-05-24,299.4850231500417
Landsat 8,2023-05-24,299.4860583797791
Landsat 7,2023-05-29,299.6839029772521
Landsat 9,2023-06-01,300.08107980071253
Landsat 9,2023-06-01,300.08048419848603
Landsat 8,2023-07-11,288.2798812757037
Landsat 8,2023-07-11,288.2785346304339
Landsat 7,2023-07-12,297.125624065466
Landsat 7,2023-07-17,297.98361922620154
Landsat 7,2023-07-17,297.96504487024987
Landsat 9,2023-07-19,297.64005826597935
Landsat 9,2023-07-19,297.63863771386394
Landsat 8,2023-07-27,293.8293002628878
Landsat 8,2023-07-27,293.8147511397322
Landsat 8,2023-08-12,300.46027698663266
Landsat 8,2023-08-12,300.45953654529393
Landsat 9,2023-08-20,298.5716791483706
Landsat 9,2023-08-20,298.5722733014435
Landsat 7,2023-09-04,300.6726281609386
Landsat 8,2023-09-13,300.71128644796624
Landsat 8,2023-09-13,300.706787435476
Landsat 8,2023-09-29,298.7588946459836
Landsat 8,2023-09-29,298.7544842606908
Landsat 9,2023-10-07,293.3667517913706
Landsat 9,2023-10-23,295.40826502816856
Landsat 9,2023-10-23,295.40911918994794
Landsat 7,2023-10-23,286.98112620239965
Landsat 8,2023-11-16,287.18019580720556
Landsat 8,2023-11-16,287.051709616208
Landsat 8,2023-12-18,300.9727458338814
Landsat 8,2023-12-18,301.02504533819
Landsat 8,2024-01-19,299.58176713469834
Landsat 8,2024-01-19,299.5823579318358
Landsat 8,2024-02-20,299.8440511654171
Landsat 8,2024-02-20,299.8527093256876
Landsat 8,2024-03-07,300.4015591037142
Landsat 8,2024-03-07,300.40873828808805
Landsat 9,2024-03-15,293.3681631902706
Landsat 9,2024-03-15,293.37023075143793
Landsat 9,2024-06-03,301.51359445222397
Landsat 9,2024-06-03,301.51835103274067
Landsat 8,2024-06-11,301.19418904848584
Landsat 8,2024-06-11,301.1997489941264
Landsat 9,2024-06-19,299.7985531502302
Landsat 9,2024-06-19,299.8000248803574
Landsat 8,2024-06-27,292.1798445363834
Landsat 8,2024-06-27,292.1779559838507
Landsat 9,2024-07-05,299.0115093884107
Landsat 9,2024-07-05,299.01015801432345
Landsat 8,2024-07-13,299.98722260676817
Landsat 8,2024-07-13,299.98788357346007
Landsat 9,2024-08-06,297.1368976389035
Landsat 9,2024-08-06,297.13747027752186
Landsat 9,2024-09-07,298.81897480977904
Landsat 9,2024-09-07,298.8191384116201
Landsat 9,2024-09-23,299.16133290349563
Landsat 9,2024-09-23,299.15883219787383
Landsat 8,2024-10-17,293.66535131905107
Landsat 9,2024-10-25,298.1858257700685
Landsat 9,2024-10-25,298.1767168466839
Landsat 8,2024-11-02,298.9800843349378
Landsat 8,2024-11-02,298.9670681114554
Landsat 9,2024-11-10,296.254065044135
Landsat 9,2024-11-10,296.2713092143285
Landsat 8,2024-11-18,299.3155083038212
Landsat 8,2024-11-18,299.32764275533
Landsat 8,2024-12-20,299.4388463206896
Landsat 8,2024-12-20,299.45382925717996
Landsat 9,2024-12-28,289.34598684138695
Landsat 9,2024-12-28,289.61834790259195
Landsat 8,2025-01-05,299.8871376360786
Landsat 8,2025-01-05,299.8586470428519
Landsat 9,2025-01-13,298.98663115434067
Landsat 9,2025-01-13,298.9848881273614
Landsat 9,2025-02-14,298.25162810846314
Landsat 9,2025-02-14,298.2522476598637
Landsat 8,2025-02-22,299.95203661773473
Landsat 8,2025-02-22,299.9468204266383
Landsat 9,2025-03-02,299.41418942580026
Landsat 9,2025-03-02,299.41244228017314
